epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.89031,1.15989,3.48708,1.2713,0.00728,0.78409,0.04423,0.02561,1.07791,3.19661,1.11357,7.5e-05,7.5e-05,7.5e-05
2,14.192,0.93639,3.05695,1.11461,0.0101,1,0.67015,0.56775,0.66609,2.91563,0.86852,0.000159819,0.000159819,0.000159819
3,19.5195,0.86148,1.99004,1.08038,0.01034,1,0.70651,0.58372,0.66614,2.71748,0.89133,0.00024175,0.00024175,0.00024175
4,22.5116,0.87081,1.52953,1.05058,0.01017,1,0.65373,0.53824,0.67078,2.58519,0.88824,0.000320794,0.000320794,0.000320794
5,26.2387,0.8413,1.28357,1.04488,1,0.22717,0.74291,0.61029,0.7112,2.36463,0.93339,0.00039695,0.00039695,0.00039695
6,29.967,0.84415,1.12256,1.05383,0.9676,0.55,0.78362,0.63656,0.72739,2.26055,0.90062,0.000470219,0.000470219,0.000470219
7,32.9481,0.8434,1.02247,1.04011,0.96755,0.57184,0.97279,0.76319,0.78079,2.15626,0.97464,0.0005406,0.0005406,0.0005406
8,35.5262,0.84923,1.0664,1.04825,0.98489,0.59154,0.90064,0.71051,0.72594,2.11632,0.9119,0.000608094,0.000608094,0.000608094
9,38.3198,0.80628,0.95819,1.00753,0.92622,0.7355,0.98231,0.79327,0.74832,1.77605,0.97974,0.0006727,0.0006727,0.0006727
10,41.9706,0.80549,0.93705,1.02825,0.76251,0.63838,0.84404,0.68369,0.76323,1.92968,0.9141,0.000734419,0.000734419,0.000734419
11,44.8967,0.78553,0.87736,1.01578,0.81537,0.71744,0.85266,0.71712,0.68884,1.84247,0.89586,0.00079325,0.00079325,0.00079325
12,47.8912,0.74568,0.85878,1.001,0.82919,0.77619,0.95643,0.76176,0.76098,1.43814,0.98536,0.000849194,0.000849194,0.000849194
13,50.6019,0.76502,0.86842,1.01362,0.80335,0.75,0.91492,0.74612,0.74516,1.46155,0.95329,0.00090225,0.00090225,0.00090225
14,53.7697,0.79076,0.86447,1.00249,0.87406,0.89142,0.95038,0.72011,0.84314,1.17852,0.99639,0.000952419,0.000952419,0.000952419
15,56.9561,0.78001,0.83941,1.00502,0.7276,0.75,0.80199,0.61247,0.80577,1.6755,0.94985,0.00096125,0.00096125,0.00096125
16,59.5495,0.78199,0.80395,0.99617,0.869,0.93778,0.995,0.81625,0.75198,0.9298,0.96269,0.000940625,0.000940625,0.000940625
17,62.3678,0.78064,0.85028,1.0268,0.89342,0.93933,0.995,0.80039,0.79664,0.95636,1.0057,0.00092,0.00092,0.00092
18,65.2361,0.74112,0.77008,0.99498,0.79083,0.86079,0.92316,0.75904,0.72774,1.31653,0.9477,0.000899375,0.000899375,0.000899375
19,68.7577,0.74477,0.76895,1.01208,0.98389,0.99542,0.995,0.81152,0.79904,0.62258,0.98848,0.00087875,0.00087875,0.00087875
20,71.3816,0.75707,0.76878,1.01476,0.95634,1,0.995,0.80533,0.75349,0.65396,0.96085,0.000858125,0.000858125,0.000858125
21,74.4145,0.73852,0.72717,0.99389,0.96441,1,0.995,0.80213,0.76352,0.59971,0.97403,0.0008375,0.0008375,0.0008375
22,76.9745,0.73377,0.72771,1.01976,0.98595,0.98909,0.995,0.82231,0.71674,0.52312,0.94775,0.000816875,0.000816875,0.000816875
23,80.6812,0.73775,0.70839,0.99996,0.95221,1,0.995,0.81872,0.72177,0.69227,0.9332,0.00079625,0.00079625,0.00079625
24,83.6632,0.72441,0.73081,0.97422,0.94132,1,0.995,0.80261,0.77745,0.67295,1.00081,0.000775625,0.000775625,0.000775625
25,86.0304,0.77307,0.70602,1.02804,0.96033,1,0.995,0.82377,0.74099,0.59925,0.97509,0.000755,0.000755,0.000755
26,89,0.73457,0.65475,0.96831,0.97118,1,0.995,0.83685,0.7336,0.52882,0.9497,0.000734375,0.000734375,0.000734375
27,91.6211,0.74882,0.71471,1.00474,0.97005,1,0.995,0.82509,0.73755,0.56932,0.96121,0.00071375,0.00071375,0.00071375
28,95.3391,0.7174,0.67222,0.98766,0.97958,0.99079,0.995,0.8321,0.73463,0.52605,0.94919,0.000693125,0.000693125,0.000693125
29,98.1212,0.70623,0.66632,1.01373,0.98797,0.98881,0.995,0.83962,0.69843,0.49404,0.93625,0.0006725,0.0006725,0.0006725
30,100.771,0.74249,0.66563,0.99513,0.99186,1,0.995,0.84789,0.70427,0.47459,0.93728,0.000651875,0.000651875,0.000651875
31,103.464,0.69426,0.64014,0.98336,0.98158,0.99726,0.995,0.84115,0.68792,0.48534,0.9242,0.00063125,0.00063125,0.00063125
32,107.263,0.72454,0.66613,1.00247,0.98057,0.98826,0.995,0.83233,0.71586,0.47386,0.95008,0.000610625,0.000610625,0.000610625
33,110.16,0.70504,0.62588,0.97231,0.98141,1,0.995,0.83837,0.70411,0.44459,0.94851,0.00059,0.00059,0.00059
34,112.573,0.70685,0.63147,0.9907,0.98458,1,0.995,0.83343,0.68294,0.43442,0.9384,0.000569375,0.000569375,0.000569375
35,115.325,0.67578,0.58575,0.96274,0.98347,1,0.995,0.84136,0.71334,0.44313,0.96039,0.00054875,0.00054875,0.00054875
36,118.718,0.68957,0.61001,0.98814,0.9846,1,0.995,0.8353,0.68628,0.41166,0.95057,0.000528125,0.000528125,0.000528125
37,121.988,0.68703,0.62057,0.97273,0.98792,1,0.995,0.84334,0.68237,0.39468,0.95683,0.0005075,0.0005075,0.0005075
38,124.541,0.70171,0.61734,0.99406,0.98565,1,0.995,0.8421,0.66946,0.3974,0.9552,0.000486875,0.000486875,0.000486875
39,127.376,0.67393,0.5974,0.94394,0.98608,0.97706,0.995,0.83717,0.69152,0.42123,0.96763,0.00046625,0.00046625,0.00046625
40,130.501,0.61539,0.55401,0.95499,0.98429,1,0.995,0.83528,0.70709,0.40123,0.947,0.000445625,0.000445625,0.000445625
41,133.658,0.64273,0.55958,0.95652,0.98773,1,0.995,0.8308,0.6928,0.39438,0.93512,0.000425,0.000425,0.000425
42,136.71,0.64492,0.56568,0.9465,0.98963,1,0.995,0.84482,0.68729,0.38538,0.93458,0.000404375,0.000404375,0.000404375
43,139.766,0.64724,0.56475,0.94852,0.9934,1,0.995,0.84934,0.71099,0.38698,0.94595,0.00038375,0.00038375,0.00038375
44,142.319,0.63577,0.55945,0.94729,0.9925,1,0.995,0.8374,0.68769,0.38088,0.92949,0.000363125,0.000363125,0.000363125
45,145.872,0.65066,0.56981,0.9618,0.99051,1,0.995,0.84275,0.67245,0.38571,0.92119,0.0003425,0.0003425,0.0003425
46,148.553,0.60166,0.54607,0.93942,0.98809,1,0.995,0.85786,0.66004,0.38226,0.91393,0.000321875,0.000321875,0.000321875
47,151.04,0.63694,0.54594,0.95785,0.98498,1,0.995,0.8456,0.687,0.38132,0.93445,0.00030125,0.00030125,0.00030125
48,154.247,0.62757,0.53463,0.94584,0.98636,1,0.995,0.85006,0.68768,0.37209,0.9343,0.000280625,0.000280625,0.000280625
49,157.719,0.64497,0.54687,0.9702,0.98888,1,0.995,0.85516,0.6757,0.36942,0.92697,0.00026,0.00026,0.00026
50,160.964,0.6054,0.5305,0.93483,0.99288,1,0.995,0.84236,0.6916,0.35986,0.93022,0.000239375,0.000239375,0.000239375
51,173.841,0.54134,0.55367,0.91199,0.99248,1,0.995,0.83975,0.7123,0.37165,0.93714,0.00021875,0.00021875,0.00021875
52,179.482,0.52959,0.54885,0.88552,0.99021,1,0.995,0.84289,0.71709,0.39642,0.93852,0.000198125,0.000198125,0.000198125
53,184.096,0.5307,0.5572,0.90255,0.98964,1,0.995,0.84908,0.71322,0.39136,0.93973,0.0001775,0.0001775,0.0001775
54,187.199,0.53035,0.54487,0.90675,0.98536,1,0.995,0.84489,0.70157,0.37335,0.93831,0.000156875,0.000156875,0.000156875
55,190.354,0.54859,0.54375,0.88698,0.98632,1,0.995,0.83768,0.69135,0.36403,0.93696,0.00013625,0.00013625,0.00013625
56,193.068,0.5067,0.50557,0.88544,0.99009,1,0.995,0.83621,0.70185,0.3561,0.94225,0.000115625,0.000115625,0.000115625
57,196.326,0.52943,0.51712,0.8987,0.99152,1,0.995,0.83052,0.70453,0.35646,0.94196,9.5e-05,9.5e-05,9.5e-05
58,199.538,0.50093,0.5026,0.88514,0.99283,1,0.995,0.83391,0.70114,0.35902,0.93708,7.4375e-05,7.4375e-05,7.4375e-05
59,202.19,0.52033,0.51519,0.88731,0.99332,1,0.995,0.832,0.70284,0.36032,0.93553,5.375e-05,5.375e-05,5.375e-05
60,204.749,0.50925,0.51436,0.88391,0.99349,1,0.995,0.83364,0.70056,0.35611,0.93618,3.3125e-05,3.3125e-05,3.3125e-05
